127.0.0.1 - - [06/Jun/2024:16:03:26 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:27 +0530] "GET /CarRental/login.jsp HTTP/1.1" 200 17789
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:27 +0530] "GET /CarRental/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:27 +0530] "GET /CarRental/img/favicon.ico HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:31 +0530] "GET /CarRental/login.jsp HTTP/1.1" 200 17789
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:41 +0530] "POST /CarRental/UserSignUpController HTTP/1.1" 200 36142
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:41 +0530] "GET /CarRental/car_images/Innova%20Crysta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:41 +0530] "GET /CarRental/car_images/Eco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:41 +0530] "GET /CarRental/car_images/Nexon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:41 +0530] "GET /CarRental/car_images/Swift.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:41 +0530] "GET /CarRental/car_images/Bolero.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:41 +0530] "GET /CarRental/car_images/virtusGT.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:47 +0530] "GET /CarRental/car.jsp HTTP/1.1" 200 22140
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:54 +0530] "GET /CarRental/car-single.jsp?cid=8 HTTP/1.1" 200 21753
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:04:37 +0530] "POST /CarRental/BookingController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:04:37 +0530] "GET /CarRental/car.jsp HTTP/1.1" 200 22140
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:12:53 +0530] "GET /CarRental/car-single.jsp?cid=8 HTTP/1.1" 200 21753
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:13:11 +0530] "POST /CarRental/BookingController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:13:11 +0530] "GET /CarRental/car.jsp HTTP/1.1" 200 22140
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:13:27 +0530] "GET /CarRental/car-single.jsp?cid=8 HTTP/1.1" 200 21753
